bookTitle,bookId,ISBN,bookAuthor,yearOfPublication,publisher
All Creatures Great and Small,41,553268120,James Herriot,1985,Bantam Books
All I Really Need to Know,42,080410526X,ROBERT FULGHUM,1989,Ivy Books
All That Remains (Kay Scarpetta Mysteries (Paperback)),43,380718332,Patricia D. Cornwell,1993,Avon
"All the Pretty Horses (The Border Trilogy, Vol 1)",44,679744398,CORMAC MCCARTHY,1993,Vintage
Along Came a Spider (Alex Cross Novels),45,446364193,James Patterson,1993,Warner Books
American Gods,46,380789035,Neil Gaiman,2002,HarperTorch
And Then You Die,47,553579983,Iris Johansen,1998,Bantam
Angela's Ashes (MMP) : A Memoir,48,684872153,Frank McCourt,1999,Scribner
Angela's Ashes: A Memoir,49,068484267X,Frank McCourt,1999,Scribner
Angels,50,849911672,Billy Graham,1994,Thomas Nelson
Angels &amp; Demons,51,671027360,Dan Brown,2001,Pocket Star
"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",52,64472272,Louise Rennison,2001,HarperTempest
Animal Dreams,53,60921145,Barbara Kingsolver,1991,Perennial
Animal Farm,54,451526341,George Orwell,2004,Signet
Anne Frank: The Diary of a Young Girl,55,553296981,ANNE FRANK,1993,Bantam
Anne of Avonlea (Anne of Green Gables Novels (Paperback)),56,553213148,L.M. MONTGOMERY,1984,Bantam Classics
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),57,553153277,L.M. Montgomery,1984,Skylark
Anne of the Island,58,553213172,Lucy Maud Montgomery,1983,Bantam Classics
"Artemis Fowl (Artemis Fowl, Book 1)",59,786817879,Eoin Colfer,2003,Miramax Kids
Ashes to Ashes,60,553579606,TAMI HOAG,2000,Bantam
At Home in Mitford (The Mitford Years),61,014025448X,Jan Karon,1996,Viking Books
Atonement : A Novel,62,038572179X,IAN MCEWAN,2003,Anchor
B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),63,553280341,Sue Grafton,1986,Bantam
Back Roads,64,670894184,Tawni O'Dell,2000,Viking Books
Bag of Bones,65,067102423X,Stephen King,1999,Pocket
Balzac and the Little Chinese Seamstress : A Novel,66,385722206,DAI SIJIE,2002,Anchor
Bastard Out of Carolina,67,452269571,Dorothy Allison,1993,Plume Books
Beach House,68,1551668998,Mary Alice Monroe,2002,Mira
Beach Music,69,385413041,PAT CONROY,1995,Nan A. Talese
Before I Say Good-Bye,70,671004573,Mary Higgins Clark,2001,Pocket
Bel Canto: A Novel,71,60934417,Ann Patchett,2002,Perennial
Beloved,72,345327853,BERTRICE SMALL,1985,Ballantine Books
Beloved (Plume Contemporary Fiction),73,452264464,Toni Morrison,1994,Plume
Betrayal in Death,74,425178579,Nora Roberts,2001,Berkley Publishing Group
Big Cherry Holler: A Big Stone Gap Novel (Ballantine Reader's Circle),75,345445848,Adriana Trigiani,2002,Ballantine Books
Big Stone Gap: A Novel (Ballantine Reader's Circle),76,345438329,Adriana Trigiani,2001,Ballantine Books
Big Trouble,77,425178102,Dave Barry,2001,Berkley Publishing Group
Billy Straight : A Novel,78,345413865,JONATHAN KELLERMAN,1999,Ballantine Books
Birthright,79,515137111,Nora Roberts,2004,Jove Books
Bittersweet,80,440224845,DANIELLE STEEL,2000,Dell
Black House,81,345441036,Stephen King,2002,Ballantine Books
Black Notice,82,425175405,Patricia Daniels Cornwell,2000,Berkley Publishing Group
Black and Blue,83,440226104,ANNA QUINDLEN,1999,Dell
Bleachers,84,385511612,John Grisham,2003,Doubleday
Blessings,85,375502238,ANNA QUINDLEN,2002,Random House
Blood Work,86,446602620,Michael Connelly,1998,Warner Books
Blue Diary,87,425184943,Alice Hoffman,2002,Berkley Publishing Group
Body of Evidence (Kay Scarpetta Mysteries (Paperback)),88,380717018,Patricia D. Cornwell,1992,Avon
Body of Lies,89,553800973,IRIS JOHANSEN,2002,Bantam
Brave New World,90,60929871,Aldous Huxley,1998,Perennial
"Breath, Eyes, Memory",91,037570504X,Edwidge Danticat,1998,Vintage Books USA
Breathing Lessons,92,042516313X,Anne Tyler,1998,Berkley Publishing Group
Bridge to Terabithia,93,380432811,Katherine Paterson,1979,Avon Books
Bridget Jones : The Edge of Reason,94,670892963,Helen Fielding,2000,Viking Books
Bridget Jones's Diary,95,014028009X,Helen Fielding,1999,Penguin Books
Bridget Jones: The Edge of Reason,96,140298479,Helen Fielding,2001,Penguin Books
By the Light of the Moon,97,553801430,DEAN KOONTZ,2002,Bantam
C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),98,553280368,Sue Grafton,1987,Bantam
CAT'S EYE,99,553282476,MARGARET ATWOOD,1989,Bantam
Call of the Wild,100,1559029838,Jack London,0,Selldowns/no More Orders
Carnal Innocence,101,553295977,Nora Roberts,1992,Bantam Books
Carolina Moon,102,515130389,Nora Roberts,2001,Jove Books
Carrie,103,671039725,Stephen King,2002,Pocket
Cat &amp; Mouse (Alex Cross Novels),104,446606189,James Patterson,1998,Warner Books
Catering to Nobody,105,044922046X,Diane Mott Davidson,1995,Fawcett Books
Cause of Death,106,425158616,Patricia Daniels Cornwell,1997,Berkley Publishing Group
Certain Prey,107,425174271,John Sandford,2000,Berkley Publishing Group
Charlotte's Web (Trophy Newbery),108,64400557,E. B. White,1974,HarperTrophy
Charming Billy,109,038533334X,Alice McDermott,1999,Delta
Chicken Soup for the Soul (Chicken Soup for the Soul),110,155874262X,Jack Canfield,1993,Health Communications
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),111,1558744150,Jack Canfield,1996,Health Communications
Chocolat,112,014100018X,Joanne Harris,2000,Penguin Books
Choke,113,385720920,CHUCK PALAHNIUK,2002,Anchor
Chosen Prey,114,425182878,John Sandford,2004,Berkley Publishing Group
Christine,115,451128370,Stephen King,1983,Penguin Putnam~mass
Chromosome 6,116,425161242,Robin Cook,2000,Berkley Publishing Group
Circle of Friends,117,440211263,Maeve Binchy,1991,Dell
Clear and Present Danger (Jack Ryan Novels),118,425122123,Tom Clancy,1996,Berkley Publishing Group
Cold Mountain,119,871136791,Charles Frazier,1997,Atlantic Monthly Press
Cold Mountain : A Novel,120,375700757,CHARLES FRAZIER,1998,Vintage
Cold Sassy Tree,121,440514428,Olive Ann Burns,1986,Dell Publishing Company
Colony,122,61099708,Anne Rivers Siddons,1993,HarperTorch
Coming Home,123,312958129,Rosamunde Pilcher,1996,St. Martin's Press
Confessions of a Shopaholic (Summer Display Opportunity),124,385335482,SOPHIE KINSELLA,2001,Delta
Confessions of an Ugly Stepsister : A Novel,125,60987529,Gregory Maguire,2000,Regan Books
Congo,126,345378490,Michael Crichton,1995,Ballantine Books
Contact,127,671004107,Carl Sagan,1997,Pocket
Contagion,128,425155943,Robin Cook,1998,Berkley Publishing Group
Coraline,129,380977788,Neil Gaiman,2002,HarperCollins
Couplehood,130,553096834,Paul Reiser,1994,Bantam Dell Pub Group
Cradle and All,131,446609404,James Patterson,2001,Warner Vision
Crazy for You,132,312198493,Jennifer Crusie,1999,St Martins Pr
Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),133,380718340,Patricia D. Cornwell,1994,Avon
Cry Wolf,134,055356160X,TAMI HOAG,1993,Bantam
Cujo,135,451161351,Stephen King,2004,Signet Book
D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),136,553271636,Sue Grafton,1988,Bantam
Daddy,137,440207622,DANIELLE STEEL,1990,Dell
Daddy's Little Girl,138,743460529,Mary Higgins Clark,2003,Pocket
Daisy Fay and the Miracle Man,139,446394521,Fannie Flagg,1992,Warner Books
Dance upon the Air (Three Sisters Island Trilogy),140,515131229,Nora Roberts,2003,Jove Books
Dances With Wolves,141,449134482,Michael Blake,1990,Fawcett Books
Dangerous,142,821759744,Becky Barker,1997,Kensington Publishing Corporation
Dark Angel,143,553287397,Sally Beauman,1991,Bantam Books
Dark Paradise,144,553561618,TAMI HOAG,1994,Bantam
Dark Rivers of the Heart,145,034539657X,Dean R. Koontz,1995,Ballantine Books
Dawn (Cutler),146,671670689,V.C. Andrews,1990,Pocket
Dead Run,147,1551666839,Erica Spindler,2003,Mira
Death du Jour,148,671011375,Kathy Reichs,2000,Pocket
Debt of Honor (Jack Ryan Novels),149,425147584,Tom Clancy,1997,Berkley Publishing Group
Deception Point,150,671027387,Dan Brown,2002,Pocket
Deck the Halls (Holiday Classics),151,743418131,Mary Higgins Clark,2002,Pocket
Degree of Guilt,152,034538184X,Richard North Patterson,1995,Ballantine Books
Deja Dead,153,671011367,Kathy Reichs,1998,Pocket
Desperation,154,451188462,Stephen King,1997,Signet Book
Devices and Desires,155,446359750,Phyllis White,1991,Warner Books
Different Seasons,156,451139682,Stephen King,1983,Signet Book
Digital Fortress : A Thriller,157,312263120,Dan Brown,2000,St. Martin's Griffin
Disclosure,158,345391055,Michael Crichton,1994,Ballantine Books
Divine Secrets of the Ya-Ya Sisterhood: A Novel,159,60928336,Rebecca Wells,1997,Perennial
Dolores Claiborne,160,451177096,Stephen King,2004,Signet Book
Don't Stand Too Close to a Naked Man,161,786889020,Tim Allen,1995,Hyperion
Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),162,786881852,Richard Carlson,1997,Hyperion
Dr. Atkins' New Diet Revolution,163,380727293,Robert C. Atkins,1997,Avon Books
Dragon Tears,164,399137734,Dean R. Koontz,1993,Putnam Pub Group
Dragonfly in Amber,165,440215625,DIANA GABALDON,1993,Dell
Dream Country,166,055358264X,Luanne Rice,2002,Bantam Books
Dreamcatcher,167,074343627X,Stephen King,2001,Pocket
Drowning Ruth,168,345460359,CHRISTINA SCHWARZ,2003,Ballantine Books
Drowning Ruth (Oprah's Book Club),169,345439104,CHRISTINA SCHWARZ,2001,Ballantine Books
Drums of Autumn,170,770427758,Diana Gabaldon,1997,Seal Press (WA)
"Dude, Where's My Country?",171,446532231,Michael Moore,2003,Warner Books
Dust to Dust,172,553582526,TAMI HOAG,2002,Bantam
Dying for Chocolate (Culinary Mysteries (Paperback)),173,553560247,DIANE MOTT DAVIDSON,1993,Bantam
E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),174,553279556,Sue Grafton,1989,Bantam
Easy Prey,175,039914613X,John Sandford,2000,Putnam Publishing Group
Echoes,176,440122090,Maeve Binchy,1989,Dell
Ellen Foster,177,375703055,Kaye Gibbons,1997,Vintage Books
Empire Falls,178,375726403,Richard Russo,2002,Vintage Books USA
Ender's Game (Ender Wiggins Saga (Paperback)),179,812550706,Orson Scott Card,1994,Tor Books
Engaging The Enemy,180,373218192,Nora Roberts,2003,Silhouette
Envy,181,446527130,Sandra Brown,2001,Warner Books
Evening Class,182,385318073,Maeve Binchy,1997,Dell
Everything's Eventual : 14 Dark Tales,183,743235150,Stephen King,2002,Scribner
Exclusive,184,446604232,Sandra Brown,1997,Warner Books
Executive Orders (Jack Ryan Novels),185,425158632,Tom Clancy,1997,Berkley Publishing Group
Eyes of Prey,186,425132048,John Sandford,2004,Berkley Publishing Group
Eyes of a Child,187,679429883,Richard North Patterson,1994,Random House Inc
F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),188,553284789,Sue Grafton,1990,Bantam
FORREST GUMP (Movie Tie in),189,671894455,Winston Groom,1994,Pocket
Face the Fire (Three Sisters Island Trilogy),190,051513287X,Nora Roberts,2002,Jove Books
Fahrenheit 451,191,345342968,RAY BRADBURY,1987,Del Rey
Faking It,192,312284683,Jennifer Crusie,2002,St. Martin's Press
Fall On Your Knees (Oprah #45),193,743237188,Ann-Marie MacDonald,2002,Touchstone
Falling Angels,194,452283205,Tracy Chevalier,2002,Plume Books
False Memory,195,553580221,Dean R. Koontz,2000,Bantam Books
Family Album,196,440124344,Danielle Steel,1989,Dell
Fast Food Nation: The Dark Side of the All-American Meal,197,60938455,Eric Schlosser,2002,Perennial
Fast Women,198,312980159,Jennifer Crusie,2002,St. Martin's Press
Fat Tuesday,199,553478257,Sandra Brown,1997,Random House Audio
Fatal Cure,200,425145638,Robin Cook,1997,Berkley Publishing Group
Fatherhood,201,425097722,Bill Cosby,1994,Berkley Publishing Group
Fear Nothing,202,553579754,DEAN KOONTZ,1998,Bantam
Final Target,203,553582135,Iris Johansen,2002,Bantam Books
Fine Things,204,440200563,Danielle Steel,1988,Dell
Fingersmith,205,1573229725,Sarah Waters,2002,Riverhead Books
Five Days in Paris,206,440222842,DANIELLE STEEL,1997,Dell
Five Quarters of the Orange,207,60958022,Joanne Harris,2002,Perennial
Flesh and Blood,208,679459626,Jonathan Kellerman,2001,Random House
"Forever... : A Novel of Good and Evil, Love and Hope",209,067101420X,Jude Deveraux,2002,Pocket
Fortune's Rocks : A Novel,210,316678104,Anita Shreve,2001,Back Bay Books
Fortune's Rocks: A Novel,211,316781010,Anita Shreve,1999,Back Bay Books
Foucault's Pendulum,212,345368754,Umberto Eco,1990,Ballantine Books
Four Blind Mice,213,446613266,James Patterson,2003,Warner Books
Four Past Midnight,214,451170385,Stephen King,2001,Signet Book
Four To Score (A Stephanie Plum Novel),215,312966970,Janet Evanovich,1999,St. Martin's Paperbacks
Fried Green Tomatoes at the Whistle Stop Cafe,216,70212570,Fannie Flagg,1989,McGraw-Hill
From Potter's Field,217,425154092,Patricia Daniels Cornwell,1996,Berkley Publishing Group
From the Corner of His Eye,218,553582747,Dean Koontz,2001,Bantam Books
Full House (Janet Evanovich's Full Series),219,312983271,Janet Evanovich,2002,St. Martin's Paperbacks
Full Tilt (Janet Evanovich's Full Series),220,031298328X,Janet Evanovich,2003,St. Martin's Paperbacks
G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),221,449219364,Sue Grafton,1991,Fawcett Books
GARDEN OF SHADOWS (Dollanger Saga (Paperback)),222,067164257X,Ariel Jennifer Jones,1987,Pocket
Gerald's Game,223,451176464,Stephen King,2001,Signet Book
Girl in Hyacinth Blue,224,014029628X,Susan Vreeland,2000,Penguin Books
Girl with a Pearl Earring,225,452282152,Tracy Chevalier,2001,Plume Books
"Girl, Interrupted",226,679746048,SUSANNA KAYSEN,1994,Vintage
Good Omens,227,441003257,Neil Gaiman,1996,Ace Books
Good in Bed,228,743418174,Jennifer Weiner,2002,Washington Square Press
Gorky Park,229,345298349,Martin Cruz Smith,1993,Ballantine Books
Granny Dan,230,440224829,DANIELLE STEEL,2000,"Random House, Inc."
Guardian Angel,231,440213991,Sara Paretsky,1996,Dell Publishing Company
Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),232,441304834,Laurell K. Hamilton,1995,Ace Books
Guilty as Sin,233,553564528,TAMI HOAG,1997,Bantam
H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),234,449219461,Sue Grafton,1993,Fawcett Books
Hannibal,235,440224675,Thomas Harris,2000,Dell Publishing Company
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),236,312265859,Janet Evanovich,2002,St. Martin's Press
Harry Potter and the Chamber of Secrets (Book 2),237,439064872,J. K. Rowling,2000,Scholastic
Harry Potter and the Goblet of Fire (Book 4),238,439139597,J. K. Rowling,2000,Scholastic
Harry Potter and the Order of the Phoenix (Book 5),239,043935806X,J. K. Rowling,2003,Scholastic
Harry Potter and the Prisoner of Azkaban (Book 3),240,439136369,J. K. Rowling,2001,Scholastic
Harry Potter and the Sorcerer's Stone (Book 1),241,043936213X,J. K. Rowling,2001,Scholastic
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),242,059035342X,J. K. Rowling,1999,Arthur A. Levine Books
Harvest,243,067155302X,Tess Gerritsen,1997,Pocket
Heart of the Sea (Irish Trilogy),244,515128554,Nora Roberts,2000,Jove Books
Heartbeat,245,440211891,Danielle Steel,1992,Dell
Heartbreaker,246,671032992,Julie Garwood,2000,Atria
Hearts In Atlantis,247,671024248,Stephen King,2000,Pocket
Hearts in Atlantis,248,743436210,Stephen King,2001,Pocket
Heaven and Earth (Three Sisters Island Trilogy),249,515132020,Nora Roberts,2003,Jove Books
Hemlock Bay,250,515133302,Catherine Coulter,2002,Jove Books
Here on Earth,251,425167313,Alice Hoffman,1998,Berkley Publishing Group
Hide &amp; Seek,252,446603716,James Patterson,1996,Warner Books
Hideaway,253,590313088,Beverly H. Renner,1980,Scholastic
High Fidelity,254,1573228214,Nick Hornby,2000,Riverhead Books
High Five (A Stephanie Plum Novel),255,312971346,Janet Evanovich,2000,St. Martin's Paperbacks
Holes (Yearling Newbery),256,440414806,LOUIS SACHAR,2000,Yearling
Homecoming,257,449702545,Cynthia Voigt,1990,Fawcett Books
Homeport,258,515124893,Nora Roberts,1999,Jove Books
Hornet's Nest,259,042516098X,Patricia Daniels Cornwell,1998,Berkley Publishing Group
Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),260,312976275,Janet Evanovich,2001,St. Martin's Paperbacks
House of Sand and Fog,261,375727345,Andre Dubus III,2000,Vintage Books
How Stella Got Her Groove Back,262,451197410,Terry McMillan,1998,Signet Book
How to Be Good,263,1573229326,Nick Hornby,2002,Riverhead Books
How to Make an American Quilt,264,345388968,Whitney Otto,1994,Ballantine Books
I Capture the Castle,265,312201656,Dodie Smith,1999,St. Martin's Griffin
I Is for Innocent,266,449221512,Sue Grafton,1994,Fawcett Books
I Know This Much Is True,267,60987561,Wally Lamb,1999,Regan Books
I Know This Much Is True (Oprah's Book Club),268,60391626,Wally Lamb,1998,Regan Books
I Know Why the Caged Bird Sings,269,553256157,Maya Angelou,1971,Bantam Books
I'll Be Seeing You,270,671888587,Mary Higgins Clark,1994,Pocket
Icebound,271,345384350,Dean R. Koontz,1995,Ballantine Books
Icy Sparks,272,142000205,Gwyn Hyman Rubio,2001,Penguin Books
If Only It Were True,273,743406176,Marc Levy,2000,Atria
If Tomorrow Comes,274,688042171,Sidney Sheldon,1985,William Morrow &amp; Company
Impulse,275,451204301,Catherine Coulter,2001,Signet Book
In Her Shoes : A Novel,276,743418190,Jennifer Weiner,2002,Atria Books
Inner Harbor (Quinn Brothers (Paperback)),277,515124214,Nora Roberts,2001,Jove Books
Insomnia,278,451184963,Stephen King,1995,Signet Book
Intensity,279,345384369,DEAN KOONTZ,1996,Ballantine Books
Interview with the Vampire,280,345337662,Anne Rice,1993,Ballantine Books
Into Thin Air : A Personal Account of the Mt. Everest Disaster,281,385492081,JON KRAKAUER,1998,Anchor
Into the Wild,282,385486804,Jon Krakauer,1997,Anchor
Invasion,283,425155404,Robin Cook,1997,Berkley Publishing Group
Irish Hearts,284,373484003,Nora Roberts,2000,Silhouette
Isle of Dogs,285,425182908,Patricia Cornwell,2002,Berkley Publishing Group
It,286,451149513,Stephen King,1987,New Amer Library
It Was on Fire When I Lay Down on It,287,804105820,Robert Fulghum,1993,Ivy Books
It's Always Something,288,380710722,Gilda Radner,1990,Avon
J Is for Judgment,289,449221482,Sue Grafton,1999,Fawcett Books
Jack &amp; Jill (Alex Cross Novels),290,446604801,James Patterson,1997,Warner Books
Jacob Have I Loved,291,64403688,Katherine Paterson,1990,HarperTrophy
Jemima J: A Novel About Ugly Ducklings and Swans,292,767905180,Jane Green,2001,Broadway Books
Jewel,293,671038184,Bret Lott,1999,Washington Square Press
Jewel (Oprah's Book Club),294,671042572,Bret Lott,1999,Pocket
Jewels of the Sun (Irish Trilogy),295,515126772,Nora Roberts,2004,Jove Books
Journey,296,385316879,Danielle Steel,2000,Delacorte Press
Jurassic Park,297,345370775,Michael Crichton,1999,Ballantine Books
K Is for Killer (Kinsey Millhone Mysteries (Paperback)),298,449221504,Sue Grafton,1999,Fawcett Books
Kaleidoscope,299,440201926,Danielle Steel,1988,Dell
Key of Knowledge (Key Trilogy (Paperback)),300,515136379,Nora Roberts,2003,Jove Books
Key of Light (Key Trilogy (Paperback)),301,051513628X,Nora Roberts,2003,Jove Books
"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",302,515136530,Nora Roberts,2003,Jove Pubns
Killjoy,303,345453816,Julie Garwood,2003,Ballantine Books
Kiss the Girls,304,446601241,James Patterson,1995,Warner Books
L Is for Lawless,305,449221490,Sue Grafton,1996,Fawcett Books
Ladder of Years,306,449910571,Anne Tyler,1996,Ballantine Books
Lake Wobegon Days,307,670805149,Garrison Keillor,1985,Penguin USA
Lake Wobegon days,308,140092323,Garrison Keillor,1986,Penguin Books
"Lamb : The Gospel According to Biff, Christ's Childhood Pal",309,380813815,Christopher Moore,2003,Perennial
Last Chance Saloon,310,380820293,Marian Keyes,2002,Avon
Last Man Standing,311,446525804,David Baldacci,2001,Warner Books
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),312,842329129,Tim Lahaye,1996,Tyndale House Publishers
Let Me Call You Sweetheart,313,671568175,Mary Higgins Clark,1996,Pocket
Life of Pi,314,156027321,Yann Martel,2003,Harvest Books
Lightning,315,425115801,Dean R. Koontz,1996,Berkley Publishing Group
"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",316,038542017X,LAURA ESQUIVEL,1995,Anchor
"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",317,385474016,Laura Esquivel,1994,Anchor Books/Doubleday
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",318,385420161,Laura Esquivel,1992,Doubleday Books
Little Altars Everywhere: A Novel,319,60976845,Rebecca Wells,1996,Perennial
Long After Midnight,320,553571818,IRIS JOHANSEN,1997,Bantam
Lord of the Flies,321,399501487,William Gerald Golding,1959,Perigee Trade
Love in the Time of Cholera (Penguin Great Books of the 20th Century),322,140119906,Gabriel Garcia Marquez,1994,Penguin Books
"Loves Music, Loves to Dance",323,671758896,Mary Higgins Clark,1992,Pocket
Lucky : A Memoir,324,316096199,Alice Sebold,2002,Back Bay Books
Lucky Man: A Memoir,325,786867647,Michael J. Fox,2002,Hyperion
M Is for Malice,326,449223604,Sue Grafton,1998,Fawcett Books
Macgregor Brides (Macgregors),327,373483503,Nora Roberts,1997,Silhouette
Macgregor Grooms (Macgregors),328,373483694,Nora Roberts,1998,Silhouette
Master of the Game,329,446802204,Sidney Sheldon,1983,Not Avail
Matilda,330,014034294X,Roald Dahl,1990,Puffin Books
Me Talk Pretty One Day,331,316776963,David Sedaris,2001,Back Bay Books
"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",332,006016848X,John Gray,1992,HarperCollins Publishers
Mercy,333,671034022,Julie Garwood,2002,Pocket
Message from Nam,334,440209412,Danielle Steel,1991,Dell
Message in a Bottle,335,446523569,Nicholas Sparks,1998,Warner Books
Middlesex: A Novel,336,374199698,Jeffrey Eugenides,2002,"Farrar, Straus and Giroux"
Midnight,337,425118703,Dean R. Koontz,1995,Berkley Publishing Group
Midnight Bayou,338,399148248,Nora Roberts,2001,Putnam Publishing Group
Midnight in the Garden of Good and Evil,339,679751521,John Berendt,1999,Vintage Books USA
Midnight in the Garden of Good and Evil: A Savannah Story,340,679429220,John Berendt,1994,Random House
Midwives: A Novel,341,375706771,Chris Bohjalian,1998,Vintage
Mind Prey,342,425152898,John Sandford,2004,Berkley Publishing Group
Mirror Image,343,440224772,Danielle Steel,1999,Dell Publishing Company
Misery,344,451169522,Stephen King,2004,Penguin USA (Paper)
Miss Julia Speaks Her Mind : A Novel,345,688177751,Ann B. Ross,2000,Perennial
Monster : A Novel (Alex Delaware Novels (Paperback)),346,345413873,JONATHAN KELLERMAN,2000,Ballantine Books
Montana Sky,347,515120618,Nora Roberts,2000,Jove Books
Moo,348,449910237,Jane Smiley,1996,Ballantine Books
Moonlight Becomes You,349,671867113,Mary Higgins Clark,1997,Pocket
Morality for Beautiful Girls (No.1 Ladies Detective Agency),350,1400031362,Alexander McCall Smith,2002,Anchor
Mortal Fear,351,425113884,Robin Cook,1989,Berkley Publishing Group
Mortal Prey,352,425189864,John Sandford,2003,Berkley Publishing Group
Mother of Pearl,353,786866276,Melinda Haynes,1999,Hyperion
Mr. Murder,354,399138749,Dean R. Koontz,1993,Putnam Pub Group
My Gal Sunday,355,671014919,Mary Higgins Clark,2003,Pocket
Mystic River,356,380731851,Dennis Lehane,2002,HarperTorch
N Is for Noose,357,449223612,Sue Grafton,1999,Fawcett Books
Naked,358,316777730,David Sedaris,1998,Back Bay Books
Needful Things,359,451172817,Stephen King,2004,Signet Book
Nerd in Shining Armor,360,440241162,Vicki Lewis Thompson,2003,Dell Publishing Company
Neuromancer (Remembering Tomorrow),361,441569595,William Gibson,1995,Ace Books
Neverwhere,362,380789019,Neil Gaiman,1998,Avon
Nickel and Dimed: On (Not) Getting By in America,363,805063897,Barbara Ehrenreich,2002,Owl Books
Nicolae: The Rise of Antichrist (Left Behind No. 3),364,842329242,Tim F. Lahaye,1998,Tyndale House Publishers
